F11,F12,F21,F22,Sec,DRFQ_f1,DRFQ_f2,PR(STF)_f1,PR(STF)_f2,PR(WRR)_f1,PR(WRR)_f2,f1Cheat_PR(STF)_f1,f1Cheat_PR(STF)_f2,f2Cheat_PR(STF)_f1,f2Cheat_PR(STF)_f2,f1_max_cheat,f1_max_cheat,f1_max_cheat,f1_max_cheat,f2_max_cheat,f2_max_cheat,f2_max_cheat,f2_max_cheat
26,10,3,4,9,70,460,101,877,58,508,248,730,137,841,26,4,3,4,26,10,2,4
26,19,26,29,43,388,347,500,500,692,692,538,462,469,531,26,24,26,29,26,19,23,29
26,2,8,5,35,212,689,232,753,359,1166,231,754,231,754,26,1,8,5,26,2,8,1
26,30,15,5,31,216,433,364,631,484,838,452,543,321,674,18,30,15,5,26,30,15,14
26,30,28,22,36,330,354,506,469,621,576,515,460,454,521,25,30,28,22,26,30,28,25
27,11,29,1,43,512,476,483,449,715,665,483,449,483,449,27,1,29,1,27,11,29,1
27,18,20,23,29,401,471,418,565,508,686,468,515,388,595,27,24,20,23,27,18,17,23
27,25,8,22,35,380,467,460,522,583,662,552,430,430,552,27,17,8,22,27,25,21,22
28,19,26,29,34,459,444,473,509,581,626,510,472,432,550,28,26,26,29,28,19,22,29
28,29,2,25,34,433,503,460,533,535,621,460,533,459,534,1,29,2,25,28,29,1,25
28,3,24,23,38,357,417,455,531,583,680,455,531,455,531,28,1,24,23,28,3,24,1
28,7,23,9,45,401,488,450,548,661,804,450,548,450,548,28,1,23,9,28,7,23,1
28,9,20,15,44,363,508,410,575,599,838,410,575,410,575,28,1,20,15,28,9,20,1
29,25,28,1,35,370,383,481,498,548,567,481,498,481,498,29,1,28,1,29,25,28,1
29,29,16,14,23,249,453,353,640,350,636,378,615,353,640,26,29,16,14,29,29,16,1
29,29,29,10,55,496,496,457,457,878,878,563,350,457,457,18,29,29,10,29,29,29,1
29,7,19,7,34,388,593,394,601,483,737,394,601,394,601,29,1,19,7,29,7,19,1
3,15,21,20,26,443,316,558,418,646,485,566,410,435,541,14,15,21,20,3,15,21,12
3,3,27,4,7,409,45,840,93,398,44,870,63,832,101,2,3,27,4,3,3,27,10
3,5,28,22,16,632,113,777,176,534,121,820,133,765,188,4,5,28,22,3,5,28,20
