Number of flows,cheat,cheated
28,0.05544529604684021,0.01385582915170587
29,-3.427036605644117e-05,-0.0002300463290464892
30,-0.007925438191176784,0.07502091395882218
2,0.0,0.0
3,0.13551955748715921,-0.07344300822561692
4,-0.007738153509791679,0.12512426749957523
5,0.23264347221968296,-0.04972557135691271
6,0.0,0.0
7,0.4353355033603108,-0.021403622710007703
8,0.06743582701099994,-0.10246596140236273
9,-0.042081230666756966,0.04737981539300668
10,-0.0013761515921112244,-0.045016515132376485
11,0.015543896366294493,0.045534226646750366
12,0.7002445945995435,0.719777356519039
13,-0.03380112242934563,-0.023240198240710663
14,0.12252645988393392,-0.0790173757702561
15,0.023504678798564865,-0.001395715463334151
16,0.04667509532904174,-0.14669037875633537
17,-0.009593422554061188,0.008964474507784592
18,-0.034053989717426444,0.010819592663614406
19,0.000516918456697327,0.012459454705161499
20,0.025545243920548667,0.022081198288101823
21,-0.006819778408491216,-0.0011490253717087939
22,0.07195717309903069,0.0006251784314663055
23,0.008566095469347354,-0.006680489495111693
24,-0.008257493822577346,0.010306493706747872
25,-0.008939406844384405,0.016603036904030918
26,0.041320626705792056,0.02047071556599604
27,0.082853715163321,0.01584174431163584
28,0.0046710579854084945,-0.0006569895513516779
29,0.045438415421905055,0.025572011614647838
30,0.023620148097688518,0.010803115535451047
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,-0.04402281235857983,0.09350518767899363
6,0.007151620959988912,-0.006240830222499276
7,-0.04637791622481443,0.04210108859546905
8,0.24524893970827902,-0.1325202687982982
9,0.1133355996908216,-0.058685254441055365
10,-0.00564745437618606,-0.03748640806062257
11,-0.10700084580682745,0.0287249747246214
12,-0.09493922757499769,0.07180394756686465
13,0.08662497703442747,-0.027682852451859863
14,-0.01990702176885984,0.008088353012177097
15,-0.030323324132900065,0.03912146024450167
16,0.06918961516282388,0.08193843269052692
17,0.047902755070736255,0.042424936638623414
18,0.21596437610257946,-0.009775399187078043
19,0.006803660621681683,-0.012580667558410275
20,0.028642801282351915,0.01343577933630242
21,-0.041302758031842836,0.02140714632516857
22,-0.005894017587168437,0.00021828191598489345
23,0.05630557162016339,-0.001664516276403798
24,-0.07510793860573473,-0.07070429147589166
25,0.04078618356976107,-0.01636027801278135
26,0.016727546722052313,0.06972826929270812
27,0.00013989598076337588,0.00749445119466866
28,-0.0016560449993199952,0.025086670399564255
29,0.0217776437907153,-0.037293382013445245
30,0.2278739085831276,-0.056315045344552575
2,0.0,0.0
3,-0.0006257822277847309,0.0
4,0.11934908753716292,-0.14979873413661488
