time,DRFQ,PR,WRR
0,0,0,0
1,20,37,33
2,42,74,67
3,63,111,103
4,83,148,139
5,103,185,173
6,126,220,209
7,146,255,244
8,166,292,279
9,185,327,315
10,207,363,351
11,229,396,389
12,253,421,424
13,274,448,458
14,294,471,492
15,312,500,525
16,335,529,559
17,359,553,592
18,382,578,625
19,401,607,659
20,422,639,692
21,442,661,726
22,466,694,760
23,488,720,793
24,511,744,825
25,531,768,859
26,555,792,893
27,576,814,927
28,601,838,959
29,626,864,993
30,648,885,1025
31,672,916,1058
32,694,950,1091
33,717,979,1125
Avg,21.727272727272727,29.666666666666668,34.09090909090909
