time,DRFQ,PR,WRR
0,0,0,0
1,30,32,48
2,76,63,96
3,109,91,142
4,138,121,190
5,164,157,237
6,192,192,285
7,218,223,334
8,244,257,381
9,270,294,428
10,298,324,477
11,326,357,525
12,351,397,574
13,378,434,620
14,404,466,668
15,434,497,715
16,461,528,770
17,489,566,818
18,516,601,864
19,542,633,911
20,569,666,960
21,592,699,1006
22,618,725,1055
23,645,761,1104
24,666,798,1149
25,692,834,1196
26,714,865,1243
27,739,899,1291
28,760,932,1338
29,782,970,1385
30,814,999,1430
Avg,27.133333333333333,33.3,47.666666666666664
