time,DRFQ,PR,WRR
0,0,0,0
1,29,19,32
2,61,40,65
3,93,64,98
4,123,84,131
5,155,108,165
6,187,140,199
7,219,173,231
8,251,206,263
9,281,239,296
10,312,274,329
11,342,311,362
12,374,346,395
13,405,371,428
14,436,402,462
15,468,424,495
16,496,447,528
17,528,480,561
18,558,513,594
19,589,537,627
20,622,566,660
21,654,595,692
22,686,624,725
23,719,658,759
24,748,693,791
25,769,722,824
26,788,755,858
27,809,784,892
28,827,807,927
29,850,829,963
30,868,862,1001
31,887,895,1038
32,905,929,1076
33,923,963,1116
34,941,997,1157
Avg,27.676470588235293,29.323529411764707,34.029411764705884
