time,DRFQ,PR,WRR
0,0,0,0
1,31,36,40
2,62,70,82
3,94,105,123
4,124,141,165
5,156,174,207
6,189,206,248
7,218,240,290
8,250,273,332
9,281,306,373
10,312,341,415
11,343,376,457
12,373,409,498
13,403,444,540
14,434,477,582
15,467,511,624
16,497,543,665
17,530,576,707
18,560,610,748
19,592,643,790
20,621,676,832
21,653,710,873
22,683,744,915
23,714,779,957
24,744,812,998
25,776,846,1040
26,807,880,1082
27,839,914,1123
28,867,946,1165
29,898,980,1207
Avg,30.96551724137931,33.793103448275865,41.62068965517241
