time,DRFQ,PR,WRR
0,0,0,0
1,22,52,40
2,57,81,81
3,84,113,120
4,105,143,159
5,122,188,196
6,153,229,236
7,176,255,274
8,199,281,311
9,221,306,348
10,241,330,384
11,264,356,426
12,286,388,465
13,310,434,504
14,333,469,541
15,354,500,578
16,381,531,622
17,405,570,668
18,426,602,707
19,453,635,745
20,476,666,786
21,501,697,827
22,526,728,866
23,557,761,908
24,589,788,945
25,612,819,987
26,635,851,1028
27,659,894,1071
28,684,932,1114
29,715,961,1160
30,735,992,1201
Avg,24.5,33.06666666666667,40.03333333333333
