time,DRFQ,PR,WRR
0,0,0,0
1,31,32,34
2,63,62,68
3,95,93,103
4,127,124,137
5,158,155,172
6,189,186,207
7,219,219,242
8,249,248,276
9,281,279,311
10,313,311,346
11,345,342,381
12,377,373,415
13,409,404,450
14,440,436,485
15,471,468,520
16,499,497,554
17,533,527,589
18,563,559,624
19,594,591,658
20,626,622,693
21,656,653,728
22,689,685,763
23,719,715,797
24,751,747,832
25,782,777,867
26,814,809,901
27,844,842,936
28,875,873,970
29,905,902,1005
30,937,931,1040
31,967,964,1075
32,998,996,1109
Avg,31.1875,31.125,34.65625
