time,DRFQ,PR,WRR
0,0,0,0
1,35,29,40
2,75,50,81
3,114,83,121
4,142,111,163
5,172,140,202
6,206,174,244
7,239,203,284
8,267,237,325
9,293,265,367
10,322,297,408
11,349,324,448
12,380,350,489
13,408,383,529
14,437,408,570
15,462,430,610
16,488,462,651
17,515,489,691
18,541,524,731
19,564,549,771
20,591,578,815
21,624,608,856
22,659,640,897
23,687,668,938
24,721,698,979
25,754,721,1020
26,787,747,1061
27,815,775,1102
28,841,804,1142
29,872,830,1183
30,897,854,1223
31,923,879,1262
32,951,906,1304
33,981,935,1346
Avg,29.727272727272727,28.333333333333332,40.78787878787879
