time,DRFQ,PR,WRR
0,0,0,0
1,19,15,32
2,47,33,66
3,80,56,102
4,112,73,136
5,144,92,170
6,175,109,204
7,206,128,238
8,238,148,274
9,270,164,309
10,299,191,342
11,333,216,376
12,365,238,410
13,395,263,448
14,428,286,483
15,459,313,517
16,491,337,552
17,523,364,585
18,543,389,623
19,561,414,656
20,580,437,690
21,595,454,724
22,612,479,756
23,629,505,795
24,649,530,828
25,669,549,862
26,686,569,896
27,704,591,929
28,724,611,968
29,741,635,1000
30,760,652,1035
31,779,670,1068
32,795,694,1102
33,810,720,1140
34,831,739,1174
35,851,763,1208
36,870,787,1242
37,889,809,1276
38,906,832,1313
39,924,852,1347
40,943,879,1380
41,964,903,1414
42,982,925,1448
Avg,23.38095238095238,22.023809523809526,34.476190476190474
