time,DRFQ,PR,WRR
0,0,0,0
1,18,22,31
2,43,43,63
3,63,68,96
4,80,90,128
5,97,117,161
6,112,137,193
7,129,164,224
8,147,186,258
9,164,212,290
10,184,244,322
11,201,277,356
12,217,305,388
13,233,321,420
14,251,340,452
15,265,367,484
16,279,393,516
17,295,416,548
18,312,438,580
19,330,464,612
20,347,481,644
21,364,504,676
22,378,532,709
23,398,555,741
24,415,582,773
25,433,602,805
26,451,634,837
27,467,666,869
28,484,679,901
29,500,702,934
30,515,719,966
31,533,735,998
32,553,756,1031
33,570,771,1063
34,587,789,1095
35,605,807,1128
36,622,826,1160
37,639,841,1192
38,656,859,1224
39,673,890,1256
40,687,917,1288
41,705,949,1320
42,721,976,1353
43,736,1001,1385
Avg,17.11627906976744,23.27906976744186,32.2093023255814
