time,DRFQ,PR,WRR
0,0,0,0
1,17,32,37
2,48,68,73
3,78,95,108
4,105,125,144
5,129,152,182
6,153,178,219
7,176,203,256
8,202,225,293
9,225,255,332
10,248,283,368
11,270,309,404
12,303,340,441
13,326,361,476
14,351,386,510
15,381,419,545
16,401,453,578
17,419,488,614
18,437,514,651
19,456,548,686
20,475,578,720
21,497,604,755
22,523,628,791
23,547,654,829
24,569,677,864
25,590,708,899
26,611,733,934
27,629,758,969
28,650,785,1007
29,671,816,1045
30,692,848,1082
31,714,876,1119
32,734,906,1155
33,756,933,1190
34,775,956,1229
35,798,986,1266
Avg,22.8,28.17142857142857,36.17142857142857
