time,DRFQ,PR,WRR
0,0,0,0
1,17,29,32
2,44,60,66
3,64,85,100
4,80,114,133
5,99,143,167
6,119,165,201
7,137,190,237
8,155,212,273
9,171,239,307
10,190,265,341
11,208,292,377
12,226,316,415
13,244,345,449
14,265,374,484
15,285,404,521
16,303,434,561
17,329,465,596
18,356,486,636
19,378,516,677
20,397,544,716
21,421,573,750
22,442,601,785
23,467,631,819
24,488,663,853
25,508,688,886
26,527,717,921
27,546,752,957
28,566,782,991
29,590,812,1025
30,611,836,1063
31,634,865,1099
32,656,892,1135
33,682,919,1171
34,704,947,1205
35,729,973,1241
36,753,997,1275
Avg,20.916666666666668,27.694444444444443,35.416666666666664
