time,DRFQ,PR,WRR
0,0,0,0
1,36,34,45
2,72,70,91
3,106,101,136
4,147,131,184
5,181,159,230
6,207,191,275
7,238,218,319
8,268,255,363
9,299,288,408
10,329,319,456
11,371,367,501
12,400,396,546
13,425,427,589
14,463,458,633
15,493,491,679
16,520,528,724
17,547,566,768
18,571,598,813
19,600,629,856
20,626,657,900
21,651,687,944
22,675,717,989
23,701,761,1033
24,725,803,1080
25,751,844,1126
26,779,885,1170
27,802,917,1215
28,830,950,1261
29,853,985,1309
Avg,29.413793103448278,33.96551724137931,45.13793103448276
