time,DRFQ,PR,WRR
0,0,0,0
1,36,26,48
2,73,49,95
3,111,82,145
4,149,114,191
5,186,143,239
6,223,177,289
7,258,202,337
8,293,228,387
9,326,264,433
10,359,299,475
11,395,332,519
12,429,372,565
13,463,413,615
14,499,448,663
15,534,474,713
16,564,507,763
17,593,535,813
18,616,566,863
19,648,595,913
20,671,625,963
21,706,646,1013
22,739,679,1063
23,773,703,1113
24,808,735,1163
25,837,775,1213
26,869,811,1262
27,899,837,1311
28,921,874,1361
29,944,908,1411
30,969,941,1461
31,996,980,1497
Avg,32.12903225806452,31.612903225806452,48.29032258064516
