time,DRFQ,PR,WRR
0,0,0,0
1,31,33,36
2,74,63,71
3,106,102,108
4,137,136,145
5,175,170,181
6,203,203,217
7,232,234,254
8,262,265,291
9,297,293,327
10,334,334,362
11,363,368,398
12,398,400,435
13,432,426,471
14,463,457,506
15,500,490,542
16,528,523,578
17,562,557,615
18,593,588,650
19,636,627,686
20,676,661,720
21,726,694,756
22,762,722,794
23,799,751,832
24,827,778,869
25,858,805,904
26,886,838,940
27,928,874,977
28,961,913,1013
29,996,940,1049
Avg,34.3448275862069,32.41379310344828,36.172413793103445
