time,DRFQ,PR,WRR
0,0,0,0
1,15,29,30
2,39,59,62
3,59,90,94
4,78,119,126
5,95,149,159
6,111,178,191
7,130,208,223
8,149,238,253
9,165,267,285
10,181,298,317
11,199,328,349
12,218,357,381
13,233,387,413
14,250,417,445
15,269,446,477
16,288,474,509
17,306,503,541
18,325,532,573
19,342,562,605
20,363,591,637
21,387,619,669
22,413,650,701
23,430,680,733
24,454,710,765
25,481,740,797
26,509,770,829
27,536,800,861
28,562,831,893
29,589,849,925
30,617,870,957
31,644,890,989
32,672,913,1021
33,699,936,1051
34,726,957,1084
35,754,980,1116
Avg,21.542857142857144,28.0,31.885714285714286
