time,DRFQ,PR,WRR
0,0,0,0
1,27,30,40
2,57,66,76
3,81,102,112
4,109,132,147
5,135,158,186
6,164,192,226
7,192,218,261
8,222,245,294
9,251,262,328
10,282,287,363
11,310,315,396
12,341,344,428
13,369,373,462
14,397,396,500
15,429,430,539
16,461,466,576
17,490,493,612
18,519,528,646
19,551,556,679
20,582,586,715
21,608,612,752
22,630,632,792
23,655,656,830
24,685,692,864
25,715,728,897
26,743,756,930
27,774,786,964
28,802,816,999
29,832,850,1039
30,863,881,1079
31,892,907,1118
32,922,931,1152
33,952,960,1185
34,982,996,1221
Avg,28.88235294117647,29.294117647058822,35.911764705882355
