time,DRFQ,PR,WRR
0,0,0,0
1,17,31,39
2,46,66,83
3,71,103,126
4,93,139,168
5,109,178,211
6,131,214,254
7,152,249,298
8,173,282,341
9,191,322,384
10,213,353,427
11,234,389,470
12,255,419,514
13,275,445,558
14,297,476,600
15,323,506,643
16,345,531,684
17,363,558,728
18,384,588,770
19,402,616,812
20,421,654,855
21,443,687,898
22,466,713,941
23,484,751,983
24,506,785,1025
25,527,807,1067
26,547,842,1110
27,570,870,1153
28,591,910,1196
29,612,941,1238
30,630,966,1281
31,650,996,1323
Avg,20.967741935483872,32.12903225806452,42.67741935483871
