time,DRFQ,PR,WRR
0,0,0,0
1,20,19,32
2,47,35,64
3,69,52,97
4,89,70,129
5,111,88,162
6,133,107,195
7,152,126,227
8,173,144,262
9,192,159,294
10,211,178,327
11,230,197,359
12,251,220,392
13,270,238,425
14,289,255,457
15,309,269,489
16,329,284,521
17,349,302,554
18,370,320,586
19,392,340,619
20,410,357,652
21,429,375,684
22,451,393,716
23,472,408,749
24,493,423,781
25,515,442,813
26,537,456,846
27,557,476,878
28,578,494,910
29,598,508,942
30,617,523,975
31,639,541,1008
32,660,559,1041
33,682,583,1075
34,702,604,1108
35,723,623,1140
36,744,643,1172
37,765,664,1205
38,789,685,1237
39,810,707,1269
40,832,724,1301
41,853,744,1333
42,872,762,1366
43,892,785,1398
44,911,802,1431
45,930,822,1464
46,949,843,1497
47,970,863,1529
48,988,884,1562
Avg,20.583333333333332,18.416666666666668,32.541666666666664
