time,DRFQ,PR,WRR
0,0,0,0
1,27,10,31
2,55,42,64
3,84,74,96
4,111,93,129
5,140,114,161
6,168,131,193
7,196,163,225
8,225,195,257
9,253,228,290
10,282,260,322
11,310,293,355
12,338,317,387
13,354,341,420
14,372,364,452
15,389,387,484
16,406,406,517
17,421,423,549
18,441,441,581
19,458,465,614
20,474,490,646
21,493,518,679
22,508,547,711
23,528,563,744
24,545,587,776
25,561,610,808
26,578,633,841
27,597,651,873
28,614,669,906
29,629,683,938
30,646,698,971
31,663,730,1003
32,680,763,1035
33,694,795,1068
34,707,828,1101
35,718,854,1133
36,734,873,1166
37,749,901,1198
38,765,933,1230
39,781,966,1264
40,795,994,1296
Avg,19.875,24.85,32.4
