time,DRFQ,PR,WRR
0,0,0,0
1,29,34,41
2,61,69,83
3,92,100,125
4,124,132,167
5,156,166,210
6,187,199,252
7,219,232,294
8,251,266,337
9,281,298,379
10,312,330,421
11,341,365,463
12,373,394,505
13,406,428,548
14,436,460,590
15,465,494,632
16,494,526,674
17,525,559,717
18,560,592,759
19,592,622,801
20,623,653,844
21,654,686,886
22,684,716,928
23,714,749,970
24,746,782,1012
25,777,815,1054
26,811,848,1096
27,840,879,1138
28,872,912,1181
29,905,944,1223
30,935,979,1265
Avg,31.166666666666668,32.63333333333333,42.166666666666664
