time,DRFQ,PR,WRR
0,0,0,0
1,24,37,33
2,53,71,68
3,81,97,102
4,107,123,137
5,131,150,175
6,158,176,211
7,183,211,246
8,211,245,281
9,234,277,318
10,260,306,354
11,283,337,389
12,308,367,428
13,340,397,463
14,364,422,499
15,382,459,534
16,403,489,570
17,424,514,609
18,445,537,649
19,464,563,687
20,485,591,725
21,508,617,761
22,527,643,795
23,550,669,828
24,569,697,862
25,588,718,899
26,611,743,932
27,636,772,966
28,666,798,998
29,694,821,1031
30,725,850,1067
31,752,878,1105
32,778,907,1141
33,804,930,1176
34,824,955,1211
35,848,983,1246
Avg,24.228571428571428,28.085714285714285,35.6
