time,DRFQ,PR,WRR
0,0,0,0
1,23,21,33
2,54,47,67
3,88,72,101
4,124,94,135
5,156,119,169
6,185,141,203
7,210,163,236
8,238,187,269
9,270,213,303
10,292,237,337
11,310,261,371
12,326,283,405
13,346,305,439
14,368,327,473
15,389,349,506
16,409,377,539
17,425,398,573
18,446,417,607
19,465,440,641
20,488,463,674
21,507,483,707
22,528,503,741
23,545,529,775
24,565,554,807
25,585,577,841
26,605,603,875
27,625,626,909
28,643,647,943
29,661,667,976
30,682,687,1009
31,700,710,1044
32,719,740,1078
33,737,761,1111
34,757,780,1145
35,777,804,1179
36,798,827,1213
37,817,849,1246
38,837,873,1280
39,857,896,1315
40,876,918,1349
41,895,940,1383
42,914,958,1417
43,935,979,1451
Avg,21.74418604651163,22.767441860465116,33.74418604651163
