time,DRFQ,PR,WRR
0,0,0,0
1,19,32,34
2,47,64,70
3,74,95,105
4,102,126,141
5,130,158,176
6,157,190,212
7,182,222,247
8,210,246,282
9,231,267,318
10,251,294,353
11,281,318,389
12,308,337,424
13,336,361,460
14,362,383,494
15,389,407,529
16,416,435,565
17,444,458,600
18,471,482,636
19,498,510,672
20,526,531,708
21,552,563,743
22,579,596,779
23,606,628,814
24,633,660,850
25,660,693,886
26,689,724,922
27,716,756,958
28,742,788,993
29,767,820,1029
30,794,853,1064
31,822,886,1100
32,849,919,1136
33,876,951,1172
34,904,983,1208
Avg,26.58823529411765,28.91176470588235,35.529411764705884
