time,DRFQ,PR,WRR
0,0,0,0
1,18,19,32
2,44,37,64
3,65,55,95
4,85,79,127
5,106,117,159
6,125,135,191
7,144,155,223
8,167,174,255
9,189,197,287
10,213,221,319
11,239,247,351
12,265,274,382
13,287,296,414
14,311,315,447
15,336,332,479
16,361,352,511
17,386,377,544
18,410,401,576
19,435,423,609
20,462,445,641
21,490,466,674
22,518,486,706
23,545,509,738
24,571,527,770
25,598,546,802
26,620,569,834
27,646,588,866
28,671,609,898
29,694,627,930
30,715,647,962
31,739,671,994
32,759,692,1027
33,777,712,1059
34,800,735,1091
35,825,762,1124
36,849,784,1156
37,869,802,1188
38,895,822,1220
39,918,843,1252
40,938,860,1284
41,954,881,1316
42,971,908,1349
43,989,933,1381
Avg,23.0,21.697674418604652,32.116279069767444
