time,DRFQ,PR,WRR
0,0,0,0
1,21,38,31
2,54,68,64
3,79,101,97
4,102,138,134
5,124,174,168
6,147,214,201
7,172,252,235
8,194,287,268
9,218,313,302
10,241,335,336
11,263,359,370
12,285,390,407
13,306,421,439
14,326,450,472
15,349,480,506
16,368,507,541
17,389,535,577
18,410,562,610
19,429,594,644
20,448,626,680
21,469,655,717
22,494,684,752
23,515,712,788
24,536,740,823
25,560,762,858
26,583,783,893
27,605,807,930
28,632,829,967
29,660,865,1002
30,683,889,1037
31,707,911,1072
32,730,934,1107
33,753,957,1141
34,776,982,1177
Avg,22.823529411764707,28.88235294117647,34.61764705882353
