time,DRFQ,PR,WRR
0,0,0,0
1,17,17,31
2,35,37,63
3,55,57,94
4,75,80,126
5,100,103,158
6,120,128,190
7,137,157,221
8,154,183,253
9,172,211,285
10,188,228,317
11,205,250,349
12,222,273,381
13,240,290,413
14,259,311,445
15,277,329,477
16,293,349,509
17,311,370,540
18,326,393,572
19,342,413,604
20,361,441,636
21,377,455,668
22,396,473,700
23,412,493,732
24,427,517,763
25,445,541,796
26,459,560,829
27,477,587,863
28,493,609,894
29,511,628,926
30,529,651,958
31,547,677,990
32,565,695,1022
33,582,716,1052
34,599,740,1084
35,617,762,1116
36,633,785,1148
37,649,804,1180
38,666,826,1212
39,683,848,1244
40,702,874,1276
41,718,895,1308
42,735,919,1340
43,751,941,1372
44,768,965,1404
45,786,984,1436
Avg,17.466666666666665,21.866666666666667,31.91111111111111
