time,DRFQ,PR,WRR
0,0,0,0
1,23,31,38
2,52,61,76
3,78,93,113
4,100,122,148
5,125,149,186
6,149,174,224
7,171,204,263
8,195,226,300
9,216,252,339
10,240,279,373
11,263,310,410
12,287,337,448
13,313,369,486
14,342,395,520
15,365,418,556
16,385,441,589
17,404,466,622
18,426,493,658
19,450,522,692
20,472,546,724
21,493,574,758
22,516,601,793
23,540,627,828
24,563,652,862
25,587,677,894
26,612,693,927
27,632,720,962
28,654,742,995
29,675,772,1028
30,696,802,1062
31,716,830,1095
32,736,857,1128
33,762,884,1162
34,785,916,1194
35,808,949,1228
36,830,980,1262
Avg,23.055555555555557,27.22222222222222,35.05555555555556
