time,DRFQ,PR,WRR
0,0,0,0
1,29,35,40
2,61,70,81
3,91,105,122
4,121,141,164
5,151,175,205
6,181,210,246
7,211,244,288
8,241,277,329
9,272,310,370
10,301,343,411
11,332,375,452
12,362,408,494
13,392,442,535
14,423,476,576
15,454,510,618
16,484,544,659
17,514,581,700
18,545,613,741
19,574,648,782
20,605,682,824
21,636,715,865
22,664,749,906
23,693,783,947
24,724,815,989
25,755,851,1030
26,785,884,1071
27,814,918,1112
28,844,951,1154
29,873,984,1195
Avg,30.103448275862068,33.93103448275862,41.206896551724135
