time,DRFQ,PR,WRR
0,0,0,0
1,22,18,32
2,54,38,66
3,72,59,98
4,89,77,132
5,110,94,164
6,128,112,198
7,145,136,230
8,165,158,265
9,184,182,297
10,205,200,330
11,223,218,364
12,240,242,398
13,260,264,432
14,276,292,464
15,294,310,498
16,315,334,532
17,332,352,565
18,345,368,598
19,364,388,632
20,382,408,664
21,401,424,698
22,413,441,731
23,432,459,764
24,456,478,798
25,475,495,832
26,495,514,864
27,515,532,898
28,537,553,931
29,556,572,964
30,575,591,998
31,591,609,1032
32,610,631,1065
33,624,654,1098
34,643,673,1132
35,656,689,1164
36,676,706,1197
37,694,723,1230
38,714,743,1264
39,726,763,1298
40,748,783,1331
41,765,807,1364
42,782,827,1398
43,802,847,1432
44,822,869,1464
45,843,893,1498
46,863,913,1532
47,880,937,1564
48,899,961,1598
49,919,981,1631
Avg,18.755102040816325,20.020408163265305,33.285714285714285
