time,DRFQ,PR,WRR
0,0,0,0
1,21,30,33
2,49,53,67
3,75,78,102
4,100,104,137
5,122,126,173
6,147,154,207
7,167,180,241
8,191,202,275
9,211,226,309
10,234,250,345
11,255,275,379
12,278,301,412
13,301,326,445
14,324,352,480
15,346,377,516
16,367,402,549
17,387,430,582
18,410,456,615
19,435,477,649
20,458,502,686
21,480,528,720
22,505,554,754
23,528,578,789
24,552,606,823
25,574,630,859
26,597,656,896
27,618,681,930
28,643,705,963
29,665,732,998
30,687,757,1033
31,708,781,1068
32,730,800,1102
33,754,824,1136
34,776,851,1171
35,798,874,1206
36,819,901,1240
37,841,929,1275
38,862,951,1310
39,887,976,1345
Avg,22.743589743589745,25.025641025641026,34.48717948717949
