time,DRFQ,PR,WRR
0,0,0,0
1,22,27,42
2,66,61,86
3,96,98,129
4,123,126,173
5,148,154,217
6,173,185,260
7,196,228,304
8,222,251,348
9,246,279,392
10,272,307,435
11,296,333,478
12,321,366,521
13,348,396,564
14,375,421,608
15,403,448,652
16,426,476,696
17,461,506,739
18,488,530,783
19,514,555,826
20,534,580,874
21,559,610,917
22,581,635,960
23,604,660,1004
24,630,691,1048
25,651,719,1091
26,678,744,1134
27,703,771,1176
28,725,799,1220
29,749,826,1262
30,774,852,1306
31,800,879,1350
32,828,901,1393
33,855,930,1437
34,879,958,1480
35,901,986,1526
Avg,25.742857142857144,28.17142857142857,43.6
