time,DRFQ,PR,WRR
0,0,0,0
1,25,34,36
2,55,68,80
3,90,104,125
4,119,135,165
5,146,161,200
6,168,186,236
7,191,209,273
8,211,230,310
9,237,259,356
10,259,285,393
11,290,308,428
12,315,332,465
13,340,356,510
14,361,384,548
15,382,414,593
16,402,445,637
17,427,484,676
18,450,513,715
19,469,543,753
20,490,578,789
21,510,607,830
22,535,638,875
23,564,673,914
24,584,715,954
25,606,755,993
26,627,780,1030
27,647,809,1071
28,667,841,1110
29,692,870,1147
30,717,899,1186
31,742,929,1222
32,764,965,1257
33,786,999,1292
Avg,23.818181818181817,30.272727272727273,39.15151515151515
