time,DRFQ,PR,WRR
0,0,0,0
1,18,20,33
2,51,48,67
3,71,72,100
4,92,94,134
5,110,116,167
6,133,140,201
7,154,158,236
8,175,177,270
9,197,198,303
10,217,219,337
11,235,245,370
12,257,271,403
13,278,293,436
14,300,322,470
15,321,350,504
16,339,373,538
17,360,396,572
18,381,424,606
19,398,450,639
20,420,474,676
21,440,502,711
22,460,523,745
23,480,540,778
24,498,557,812
25,516,580,846
26,535,604,880
27,555,629,914
28,573,653,949
29,594,674,982
30,616,698,1016
31,637,722,1051
32,658,747,1085
33,676,764,1118
34,692,786,1153
35,712,810,1186
36,730,835,1220
37,746,861,1254
38,765,886,1288
39,788,905,1322
40,807,930,1356
41,825,957,1389
42,844,983,1423
Avg,20.095238095238095,23.404761904761905,33.88095238095238
