time,DRFQ,PR,WRR
0,0,0,0
1,26,30,34
2,55,59,68
3,84,89,102
4,112,119,136
5,139,147,170
6,168,177,204
7,195,206,238
8,222,235,272
9,250,265,306
10,279,295,340
11,308,324,374
12,334,355,408
13,361,383,442
14,388,413,476
15,415,441,510
16,443,469,544
17,470,499,578
18,497,527,612
19,524,557,646
20,551,587,680
21,579,615,714
22,605,644,748
23,633,673,782
24,662,703,817
25,690,733,851
26,716,763,884
27,744,792,919
28,772,822,953
29,799,851,987
30,826,879,1021
31,854,908,1055
32,882,937,1089
33,908,966,1123
34,937,994,1157
Avg,27.558823529411764,29.235294117647058,34.029411764705884
