time,DRFQ,PR,WRR
0,0,0,0
1,18,15,30
2,44,33,62
3,62,47,95
4,82,64,127
5,101,81,158
6,122,96,190
7,141,113,222
8,158,133,254
9,176,149,286
10,192,165,318
11,210,187,350
12,228,204,382
13,246,227,414
14,263,243,446
15,284,257,478
16,301,270,509
17,319,289,541
18,336,308,572
19,352,324,604
20,371,335,636
21,386,349,668
22,406,361,700
23,424,374,732
24,440,392,764
25,456,407,796
26,476,421,828
27,495,438,860
28,509,455,892
29,528,467,924
30,544,485,956
31,559,501,988
32,574,517,1020
33,592,531,1052
34,607,549,1084
35,628,567,1116
36,646,583,1148
37,666,599,1180
38,685,615,1213
39,704,629,1245
40,721,651,1276
41,740,669,1308
42,760,686,1340
43,774,702,1372
44,794,723,1404
45,816,737,1436
46,837,752,1469
47,852,771,1501
48,869,790,1532
49,886,809,1564
50,903,824,1596
51,920,841,1628
52,938,859,1660
53,957,878,1692
54,975,899,1725
55,992,914,1757
Avg,18.036363636363635,16.618181818181817,31.945454545454545
