time,DRFQ,PR,WRR
0,0,0,0
1,17,19,32
2,42,45,64
3,65,71,97
4,86,94,129
5,106,115,162
6,124,136,195
7,145,157,228
8,164,178,260
9,184,203,293
10,203,225,325
11,223,249,357
12,242,272,390
13,261,290,423
14,285,311,456
15,305,334,489
16,323,360,522
17,342,384,554
18,361,405,586
19,382,429,619
20,403,449,653
21,420,472,686
22,439,495,718
23,460,521,752
24,479,544,785
25,496,568,818
26,517,589,850
27,537,615,883
28,556,638,916
29,577,661,949
30,597,684,983
31,616,706,1015
32,635,728,1047
33,654,745,1079
34,675,770,1113
35,695,794,1145
36,716,823,1178
37,732,842,1211
38,750,863,1243
39,768,881,1276
40,787,905,1308
41,806,929,1341
42,828,951,1374
43,851,968,1406
44,872,986,1438
Avg,19.818181818181817,22.40909090909091,32.68181818181818
