time,DRFQ,PR,WRR
0,0,0,0
1,20,25,32
2,44,45,65
3,66,68,98
4,84,91,130
5,105,115,162
6,124,137,194
7,145,158,227
8,167,178,259
9,190,203,291
10,210,230,324
11,229,254,356
12,249,274,391
13,268,295,423
14,287,316,456
15,308,336,488
16,326,359,520
17,346,385,553
18,367,410,585
19,386,434,618
20,404,452,650
21,422,474,682
22,443,498,715
23,464,515,748
24,483,540,780
25,503,560,813
26,522,576,847
27,541,600,879
28,563,623,912
29,583,646,944
30,604,669,977
31,623,689,1009
32,642,716,1043
33,663,742,1076
34,683,762,1109
35,702,787,1141
36,723,807,1174
37,744,826,1206
38,762,847,1239
39,777,873,1271
40,796,894,1304
41,816,912,1336
42,834,933,1368
43,853,953,1401
44,873,975,1434
45,890,999,1466
Avg,19.77777777777778,22.2,32.577777777777776
