time,DRFQ,PR,WRR
0,0,0,0
1,17,27,34
2,40,57,69
3,62,81,104
4,82,112,140
5,98,145,175
6,120,177,210
7,138,211,246
8,156,233,280
9,175,253,312
10,196,272,343
11,212,293,376
12,227,318,408
13,245,346,442
14,263,366,477
15,283,390,510
16,309,422,542
17,335,442,574
18,354,463,606
19,371,490,639
20,391,522,671
21,409,555,703
22,427,581,735
23,445,611,767
24,462,642,801
25,479,672,834
26,497,693,867
27,517,725,900
28,536,758,932
29,554,783,966
30,573,807,1001
31,591,839,1034
32,611,871,1065
33,631,902,1098
34,648,925,1133
35,667,952,1165
36,685,976,1198
Avg,19.02777777777778,27.11111111111111,33.27777777777778
