time,DRFQ,PR,WRR
0,0,0,0
1,23,26,78
2,66,54,158
3,101,80,238
4,125,111,317
5,151,139,397
6,176,176,477
7,198,204,556
8,220,239,636
9,242,264,717
10,265,300,796
11,285,328,874
12,312,359,952
13,336,390,1031
14,358,433,1109
15,384,460,1162
16,405,489,1208
17,425,518,1255
18,452,550,1300
19,477,580,1346
20,500,607,1391
21,524,642,1437
22,547,668,1484
23,570,700,1530
24,595,731,1576
25,617,765,1621
26,641,801,1668
27,665,834,1714
28,685,860,1760
29,707,909,1806
30,734,993,1852
Avg,24.466666666666665,33.1,61.733333333333334
