time,DRFQ,PR,WRR
0,0,0,0
1,34,35,41
2,68,55,80
3,103,82,118
4,137,105,160
5,173,129,200
6,199,157,234
7,226,189,267
8,251,213,301
9,275,234,336
10,300,263,369
11,326,291,403
12,346,317,436
13,371,339,470
14,400,364,504
15,423,396,545
16,447,422,578
17,470,452,616
18,494,474,653
19,519,498,686
20,539,524,722
21,563,551,756
22,589,580,788
23,616,610,822
24,637,636,855
25,659,662,889
26,680,686,928
27,702,717,971
28,725,742,1008
29,746,770,1049
30,766,797,1089
31,789,820,1130
32,812,845,1168
33,836,873,1208
34,857,897,1252
35,882,919,1296
36,908,949,1335
37,929,975,1370
Avg,25.10810810810811,26.35135135135135,37.027027027027025
