time,DRFQ,PR,WRR
0,0,0,0
1,27,32,37
2,55,63,74
3,83,96,111
4,111,128,149
5,140,161,186
6,167,194,224
7,196,225,261
8,222,257,298
9,252,290,336
10,280,322,373
11,309,356,410
12,337,386,448
13,366,418,485
14,394,449,523
15,422,481,560
16,451,513,598
17,479,545,633
18,506,577,669
19,534,611,705
20,564,644,737
21,592,676,769
22,622,708,802
23,650,740,837
24,679,772,873
25,708,804,910
26,738,837,948
27,768,869,982
28,797,901,1016
29,825,932,1052
30,854,964,1086
31,882,996,1120
Avg,28.451612903225808,32.12903225806452,36.12903225806452
