time,DRFQ,PR,WRR
0,0,0,0
1,23,27,37
2,48,52,76
3,73,75,111
4,92,104,145
5,115,128,177
6,137,157,211
7,160,184,245
8,187,210,279
9,215,243,313
10,245,270,345
11,272,301,381
12,300,333,417
13,327,357,451
14,355,382,487
15,374,410,525
16,397,442,562
17,417,468,601
18,437,498,633
19,454,529,671
20,473,562,708
21,491,595,743
22,512,617,777
23,532,645,812
24,552,678,847
25,583,711,883
26,604,743,917
27,627,776,955
28,653,808,988
29,678,843,1021
30,699,878,1055
31,718,906,1089
32,738,938,1121
33,760,970,1155
Avg,23.03030303030303,29.393939393939394,35.0
