time,DRFQ,PR,WRR
0,0,0,0
1,35,34,45
2,80,65,96
3,106,87,148
4,133,118,197
5,162,152,249
6,190,180,301
7,221,204,353
8,250,230,405
9,274,256,458
10,305,287,510
11,351,319,568
12,395,352,628
13,437,384,689
14,472,416,751
15,505,444,813
16,537,475,873
17,568,502,934
18,597,529,995
19,632,559,1057
20,657,592,1118
21,685,622,1179
22,715,658,1239
23,744,686,1300
24,780,718,1360
25,809,749,1421
26,845,778,1481
27,879,808,1542
28,909,837,1602
29,940,872,1662
30,977,907,1723
Avg,32.56666666666667,30.233333333333334,57.43333333333333
