time,DRFQ,PR,WRR
0,0,0,0
1,19,27,33
2,42,60,66
3,62,81,99
4,83,112,131
5,102,142,163
6,123,168,197
7,143,195,230
8,163,217,264
9,185,246,297
10,208,270,329
11,231,296,363
12,251,324,399
13,269,352,432
14,292,379,465
15,313,404,499
16,335,426,531
17,357,446,563
18,377,470,597
19,396,494,629
20,415,523,661
21,435,550,694
22,452,576,727
23,472,608,759
24,493,632,793
25,513,658,826
26,534,681,859
27,554,703,892
28,574,729,925
29,596,756,959
30,614,779,993
31,632,805,1027
32,650,831,1059
33,673,857,1093
34,692,876,1128
35,712,906,1163
36,731,929,1197
37,752,956,1230
38,775,987,1264
Avg,20.394736842105264,25.973684210526315,33.26315789473684
